,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Липецкая область,,,-0.7,-2.4,-3.9,-6.9,-8.1,-7.8,-7.4,-7.5,-7.2,-8.7,-8.7,-9.1,-8.8,-9.6,-9.1,-8.6,-7.8,-6.8,-6.3,-5.6,-5.8,-4.5,-3.7,-3.9,-3.9,-3.7,-3.9,-4.7
Магаданская область,,,8.0,6.3,2.3,-2.4,-2.8,-2.7,-2.3,0.0,0.5,-1.3,-2.1,-2.1,-1.8,-1.4,-1.9,-2.6,-2.5,-2.3,-2.9,-1.2,-1.5,-1.4,-0.1,0.7,0.3,0.0,-0.2,-0.5
Марий Эл,,,5.5,3.7,1.2,-2.1,-3.8,-3.5,-3.4,-3.8,-3.9,-5.5,-5.8,-6.2,-6.6,-6.0,-6.1,-6.7,-5.3,-3.4,-2.9,-2.2,-2.5,-1.1,0.5,0.9,1.0,0.6,0.7,-0.5
Мордовия,,,2.0,0.5,-1.4,-4.1,-6.1,-5.1,-6.1,-6.5,-6.1,-7.8,-8.4,-7.9,-8.7,-8.8,-8.1,-8.6,-7.8,-6.6,-5.9,-5.9,-6.2,-5.3,-4.5,-4.7,-4.3,-4.4,-4.3,-5.0
Москва,,,-2.2,-3.7,-5.9,-9.2,-9.5,-8.5,-6.6,-6.0,-6.0,-6.2,-5.8,-5.7,-5.3,-4.7,-3.8,-3.4,-3.2,-2.2,-1.5,-0.4,-0.3,1.1,1.4,1.7,1.6,1.7,1.8,1.1
Московская область,,,-2.0,-3.5,-5.5,-9.1,-10.8,-10.3,-8.9,-8.3,-8.1,-9.7,-9.8,-10.1,-9.7,-9.1,-8.4,-8.5,-7.9,-7.0,-6.1,-4.9,-4.5,-3.1,-2.4,-1.8,-1.3,-0.1,0.1,-0.4
Мурманская область,,,5.4,3.8,0.8,-2.8,-3.3,-3.2,-1.9,-1.2,-0.6,-2.6,-3.0,-3.1,-3.4,-4.0,-3.2,-3.6,-2.9,-1.4,-1.3,-1.2,-0.2,0.0,0.5,0.9,0.3,0.3,-0.3,-0.8
Ненецкий автономный округ,,,10.3,9.3,5.9,1.2,2.7,0.7,1.3,2.9,3.2,2.0,0.3,0.9,1.6,1.8,1.8,2.3,1.1,3.0,3.6,4.8,4.7,4.7,7.1,5.7,7.9,8.4,9.6,6.6
Нижегородская область,,,-1.6,-2.8,-4.5,-8.1,-9.6,-9.6,-8.4,-8.3,-8.1,-9.7,-10.4,-10.8,-11.2,-11.0,-10.7,-11.1,-9.9,-8.4,-7.6,-6.6,-7.0,-5.4,-4.3,-4.1,-4.0,-3.2,-3.5,-4.2
Новгородская область,,,-1.8,-3.7,-6.2,-10.9,-12.3,-11.9,-10.8,-9.8,-9.7,-12.1,-12.6,-13.1,-13.3,-14.3,-12.9,-13.2,-11.7,-9.4,-10.3,-9.2,-8.7,-7.1,-5.8,-6.0,-5.4,-5.6,-5.8,-6.8
Новосибирская область,,,2.4,1.2,-1.2,-5.5,-7.0,-5.6,-5.5,-4.9,-4.6,-5.7,-5.7,-5.3,-5.4,-4.9,-4.5,-5.5,-4.7,-3.3,-2.0,-1.2,-0.7,-0.5,0.3,0.7,0.7,1.1,0.8,-0.5
